time,T_out,T_in,Q_solar_total,Cooling_Load_W,SDI,Mask_Target
2023-12-11 01:00:00,23.312385502029432,27.0,11053.756657786149,23544.0,11053.756657786149,1
2023-12-11 02:00:00,23.312385502029432,22.0,16717.297652955756,0.0,0.0,0
2023-12-11 03:00:00,23.312385502029432,27.0,20315.105417474435,23544.0,20315.105417474435,1
2023-12-11 04:00:00,23.312385502029432,22.0,21535.389340736438,0.0,0.0,0
2023-12-11 05:00:00,23.312385502029432,27.0,24884.514696592203,23544.0,24884.514696592203,1
2023-12-11 06:00:00,23.312385502029432,22.0,28116.700582705333,0.0,0.0,0
2023-12-11 07:00:00,23.312385502029432,27.0,28843.238764893562,23544.0,28843.238764893562,1
2023-12-11 08:00:00,23.312385502029432,22.0,26664.585508197204,0.0,0.0,0
2023-12-11 09:00:00,23.312385502029432,27.0,22049.60985760807,23544.0,22049.60985760807,1
2023-12-11 10:00:00,23.312385502029432,22.0,6699.83216368441,0.0,0.0,0
2023-12-11 11:00:00,23.312385502029432,27.0,6079.958930151326,23544.0,6079.958930151326,1
2023-12-11 12:00:00,23.312385502029432,22.0,5269.362816608108,0.0,0.0,0
2023-12-11 13:00:00,23.312385502029432,27.0,4322.475479181114,23544.0,4322.475479181114,1
2023-12-11 14:00:00,23.312385502029432,22.0,3294.9669919834646,0.0,0.0,0
2023-12-11 15:00:00,23.312385502029432,27.0,2154.548991488141,23544.0,2154.548991488141,1
2023-12-11 16:00:00,23.312385502029432,22.0,717.0226111760066,0.0,0.0,0
2023-12-11 17:00:00,23.312385502029432,27.0,1425.4857024326866,23544.0,1425.4857024326866,1
2023-12-11 18:00:00,23.312385502029432,22.0,2697.658738797146,0.0,0.0,0
2023-12-11 19:00:00,23.312385502029432,27.0,3774.826826131895,23544.0,3774.826826131895,1
2023-12-11 20:00:00,23.312385502029432,22.0,4769.7040084565715,0.0,0.0,0
2023-12-11 21:00:00,23.312385502029432,27.0,5663.051415803413,23544.0,5663.051415803413,1
2023-12-11 22:00:00,23.312385502029432,22.0,6390.675445243456,0.0,0.0,0
2023-12-11 23:00:00,23.312385502029432,27.0,3911.0585245784064,23544.0,3911.0585245784064,1
2023-12-12 00:00:00,23.393651691538178,22.0,4592.256265781293,0.0,0.0,0
2023-12-12 01:00:00,23.393651691538178,27.0,11067.40398076737,23544.0,11067.40398076737,1
2023-12-12 02:00:00,23.393651691538178,22.0,16742.77948486759,0.0,0.0,0
2023-12-12 03:00:00,23.393651691538178,27.0,20354.650125268865,23544.0,20354.650125268865,1
2023-12-12 04:00:00,23.393651691538178,22.0,21583.844305781735,0.0,0.0,0
2023-12-12 05:00:00,23.393651691538178,27.0,24896.3356739391,23544.0,24896.3356739391,1
2023-12-12 06:00:00,23.393651691538178,22.0,28133.523021359506,0.0,0.0,0
2023-12-12 07:00:00,23.393651691538178,27.0,28868.52078909397,23544.0,28868.52078909397,1
2023-12-12 08:00:00,23.393651691538178,22.0,26697.73511877579,0.0,0.0,0
2023-12-12 09:00:00,23.393651691538178,27.0,22086.384373697056,23544.0,22086.384373697056,1
2023-12-12 10:00:00,23.393651691538178,22.0,6710.403501311495,0.0,0.0,0
2023-12-12 11:00:00,23.393651691538178,27.0,6095.213452040471,23544.0,6095.213452040471,1
2023-12-12 12:00:00,23.393651691538178,22.0,5289.647479214807,0.0,0.0,0
2023-12-12 13:00:00,23.393651691538178,27.0,4347.445870436392,23544.0,4347.445870436392,1
2023-12-12 14:00:00,23.393651691538178,22.0,3323.9887777887416,0.0,0.0,0
2023-12-12 15:00:00,23.393651691538178,27.0,2187.5163374767876,23544.0,2187.5163374767876,1
2023-12-12 16:00:00,23.393651691538178,22.0,754.9028132610404,0.0,0.0,0
2023-12-12 17:00:00,23.393651691538178,27.0,1438.4061039486432,23544.0,1438.4061039486432,1
2023-12-12 18:00:00,23.393651691538178,22.0,2710.7986870012032,0.0,0.0,0
2023-12-12 19:00:00,23.393651691538178,27.0,3785.712338862224,23544.0,3785.712338862224,1
2023-12-12 20:00:00,23.393651691538178,22.0,4777.4015425028865,0.0,0.0,0
2023-12-12 21:00:00,23.393651691538178,27.0,5667.925591477928,23544.0,5667.925591477928,1
2023-12-12 22:00:00,23.393651691538178,22.0,6393.617739531501,0.0,0.0,0
2023-12-12 23:00:00,23.393651691538178,27.0,3918.775843502499,23544.0,3918.775843502499,1
2023-12-13 00:00:00,23.475393876718552,22.0,4597.896248295355,0.0,0.0,0
2023-12-13 01:00:00,23.475393876718552,27.0,11080.005956654353,23544.0,11080.005956654353,1
2023-12-13 02:00:00,23.475393876718552,22.0,16766.645344754343,0.0,0.0,0
2023-12-13 03:00:00,23.475393876718552,27.0,20392.112190493634,23544.0,20392.112190493634,1
2023-12-13 04:00:00,23.475393876718552,22.0,21629.79239563664,0.0,0.0,0
2023-12-13 05:00:00,23.475393876718552,27.0,24904.80917467542,23544.0,24904.80917467542,1
2023-12-13 06:00:00,23.475393876718552,22.0,28146.862259572452,0.0,0.0,0
2023-12-13 07:00:00,23.475393876718552,27.0,28890.40506328679,23544.0,28890.40506328679,1
2023-12-13 08:00:00,23.475393876718552,22.0,26727.69651736407,0.0,0.0,0
