time,T_out,T_in,Q_solar_W,Cooling_Load_W,Heating_Load_W,Illuminance_in_lux,Occupied,DGP
2018-01-01 16:00:00+08:00,18.4,22.0,50494.92766750169,0.0,0.0,172.55135019378503,1,0.20647603994038144
2018-01-01 17:00:00+08:00,18.2,27.0,5853.542054399178,35640.0,0.0,9.609958761969134,1,0.18700055689749479
2018-01-01 18:00:00+08:00,17.5,22.0,1287.618324167176,0.0,0.0,5.03784021451407,1,0.18486349403265248
2018-01-01 19:00:00+08:00,16.9,27.0,0.0,35640.0,0.0,0.0,1,0.18044625647846568
2018-01-01 20:00:00+08:00,16.2,22.0,0.0,0.0,0.0,0.0,1,0.18044625647846568
2018-01-01 21:00:00+08:00,15.8,27.0,0.0,35640.0,0.0,0.0,1,0.18044625647846568
2018-01-01 22:00:00+08:00,15.4,22.0,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-01 23:00:00+08:00,15.0,20.244346481579477,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 00:00:00+08:00,15.2,25.244346481579477,0.0,14782.836201164186,0.0,0.0,0,0.18044625647846568
2018-01-02 01:00:00+08:00,15.5,20.244346481579477,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 02:00:00+08:00,15.7,25.244346481579477,0.0,14782.836201164186,0.0,0.0,0,0.18044625647846568
2018-01-02 03:00:00+08:00,15.8,20.244346481579477,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 04:00:00+08:00,15.9,25.244346481579477,0.0,14782.836201164186,0.0,0.0,0,0.18044625647846568
2018-01-02 05:00:00+08:00,16.0,20.244346481579477,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 06:00:00+08:00,15.8,25.244346481579477,0.0,14782.836201164186,0.0,0.0,0,0.18044625647846568
2018-01-02 07:00:00+08:00,15.7,20.244346481579477,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-02 08:00:00+08:00,16.0,25.244346481579477,55604.494017531695,14782.836201164186,0.0,212.21088326850443,1,0.20961862095355593
2018-01-02 09:00:00+08:00,17.3,20.244346481579477,103410.13907552631,0.0,0.0,381.0721180638137,1,0.2219160185372535
2018-01-02 10:00:00+08:00,18.7,25.244346481579477,140911.82222138063,14782.836201164186,0.0,490.1203036499109,1,0.22937955393542123
2018-01-02 11:00:00+08:00,20.0,20.603688752188,173797.38698219857,0.0,0.0,549.9706210987606,1,0.23338666852137538
2018-01-02 12:00:00+08:00,20.7,25.603688752188,169634.47757507206,19051.82237599343,0.0,486.5756295296457,1,0.2291405241831327
2018-01-02 13:00:00+08:00,21.3,30.603688752188,123660.38310502481,78451.82237599343,0.0,327.4111623397824,1,0.21813622589128873
2018-01-02 14:00:00+08:00,22.0,25.603688752188,78486.8811464497,19051.82237599343,0.0,210.88490626314092,1,0.20951589130817536
2018-01-02 15:00:00+08:00,21.5,30.603688752188,49003.788685108935,78451.82237599343,0.0,155.27512755129308,1,0.20505219114546325
2018-01-02 16:00:00+08:00,21.0,25.603688752188,37301.100655844275,19051.82237599343,0.0,122.91571167087797,1,0.2022584729749714
2018-01-02 17:00:00+08:00,20.5,30.603688752188,5703.743009413553,78451.82237599343,0.0,10.783408135027912,1,0.18741540602430695
2018-01-02 18:00:00+08:00,20.0,25.603688752188,1288.0895008368018,19051.82237599343,0.0,5.040120354305195,1,0.18486489587744284
2018-01-02 19:00:00+08:00,19.6,30.603688752188,0.0,78451.82237599343,0.0,0.0,1,0.18044625647846568
2018-01-02 20:00:00+08:00,19.1,25.603688752188,0.0,19051.82237599343,0.0,0.0,1,0.18044625647846568
2018-01-02 21:00:00+08:00,18.8,30.603688752188,0.0,78451.82237599343,0.0,0.0,1,0.18044625647846568
2018-01-02 22:00:00+08:00,18.4,25.603688752188,0.0,19051.82237599343,0.0,0.0,0,0.18044625647846568
2018-01-02 23:00:00+08:00,18.1,20.603688752188,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-03 00:00:00+08:00,18.1,25.603688752188,0.0,19051.82237599343,0.0,0.0,0,0.18044625647846568
2018-01-03 01:00:00+08:00,18.0,20.603688752188,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-03 02:00:00+08:00,18.0,25.603688752188,0.0,19051.82237599343,0.0,0.0,0,0.18044625647846568
2018-01-03 03:00:00+08:00,17.7,20.603688752188,0.0,0.0,0.0,0.0,0,0.18044625647846568
2018-01-03 04:00:00+08:00,17.5,25.603688752188,0.0,19051.82237599343,0.0,0.0,0,0.18044625647846568
